date,avgTemp,maxTemp,minTmep,rainFall,wind_velocity,avgHumid,Cloud,Sunlight,High_Q(10kg),Low_Q(10kg)
2005-02-17,4.7,10.5,0,,2.4,61,2.3,14.47,"16,160","13,320"
2005-02-18,4,6,3,,3.4,56,9.3,5.01,"16,240","13,440"
2005-02-19,-2.4,3.2,-7.9,0.2,4.2,52,4.1,14.95,"16,320","13,520"
2005-02-20,-7.1,-3.4,-9.5,,3.9,41,1.8,14.92,"16,380","13,580"
2005-02-21,-5.8,-1.7,-10.3,0,3,47,1.4,16.86,"16,440","13,640"
2005-02-22,-1,4.5,-4.6,3,3.8,81,9.8,0.45,"16,470","13,670"
2005-02-23,-2.9,-0.1,-5.4,,3.2,50,2.4,12.14,"16,470","13,670"
2005-02-24,-2.9,3.2,-6,,2.5,39,4.3,13.32,"16,470","13,670"
2005-02-25,-4.8,-1.5,-7.3,,3.4,41,0.4,17.26,"16,550","13,750"
2005-02-26,-5,-1,-8.6,,2.9,36,0,18.18,"16,670","13,870"
2005-02-27,-2.1,2.7,-7.4,,2.2,45,3,15.79,"16,830","14,030"
2005-02-28,0.6,5,-2.7,,2.4,51,1.8,15.71,"17,010","14,210"
2005-03-01,-0.3,4.5,-4.5,,2.7,46,2.4,17.09,"17,190","14,390"
2005-03-02,0.3,4.5,-2,2.4,2.4,64,4.6,14.07,"17,310","14,510"
2005-03-03,-1.3,2,-4.4,,2.6,42,1.4,17.18,"17,370","14,570"
2005-03-04,-0.4,4,-4.5,,2.7,44,1.6,16.92,"17,460","14,660"
2005-03-05,-0.9,3,-4.1,,2.2,50,3.6,13.62,"17,520","14,720"
2005-03-06,0.5,5.1,-3.5,,2.5,55,0.5,18.33,"17,620","14,820"
2005-03-07,3.8,7.9,-1.1,,3.5,74,7.8,2.87,"17,800","15,000"
2005-03-08,4.2,8.6,1.7,,2.3,57,3,14.82,"17,970","15,170"
2005-03-09,7.3,14.6,-1.2,0,1.8,48,3.4,14.44,"18,150","15,350"
2005-03-10,8.4,13.1,5,0.5,3.3,89,10,0,"18,430","15,630"
2005-03-11,0.7,5,-4,0.5,4.2,68,6.6,7.92,"18,770","15,830"
2005-03-12,-3.9,-0.8,-6.5,,4.5,36,1.1,19.64,"19,030","15,870"
2005-03-13,-1.2,3,-5.1,,3.4,34,1.1,21.03,"19,140","15,840"
2005-03-14,2.6,7.8,-2.7,,2.6,47,1.4,20.61,"19,120","15,820"
2005-03-15,4.5,8.8,1.2,,2.3,62,7.8,11.11,"19,080","15,760"
2005-03-16,7.5,12.5,3.2,,1.5,57,7.8,13.32,"19,040","15,680"
2005-03-17,5.9,9.8,3.2,7,3,79,8.9,9.73,"17,233","14,033"
2005-03-18,3.9,8.3,1.7,,3.9,41,0.1,21.45,"19,000","15,560"
2005-03-19,4.3,10.3,-0.6,,2.5,48,2.6,20.57,"19,000","15,520"
2005-03-20,5.9,9.8,3,,3.1,65,2.6,18.01,"19,040","15,540"
2005-03-21,7.1,12,2,,2.4,57,5.1,13.7,"19,080","15,580"
2005-03-22,8.5,14.3,3.9,2,2.7,58,5.4,16.9,"19,130","15,620"
2005-03-23,8.7,13.6,5.3,,2.8,42,6.1,15.67,"19,230","15,700"
2005-03-24,3,7.5,-0.2,0.1,4.9,43,4.3,15.83,"19,350","15,800"
2005-03-25,3.1,7,-1.7,,4.3,50,2.1,15.37,"19,410","15,880"
2005-03-26,6.8,10.8,2.5,,2.4,74,6,7.76,"19,470","15,980"
2005-03-27,10.5,17.6,6,,2,61,5.4,19.73,"19,540","16,120"
2005-03-28,6.8,11.8,4.4,,3,64,2.8,7.44,"19,560","16,240"
2005-03-29,5.6,10.3,2.2,,3.1,31,0,22.49,"19,560","16,360"
2005-03-30,6.7,12.1,2.2,,3.7,48,0,20.53,"19,560","16,460"
2005-03-31,9.5,15.5,3.5,,2.3,49,2.1,18.37,"19,540","16,440"
2005-04-01,11.2,16.1,6.3,,1.7,32,3.8,14.83,"19,500","16,400"
2005-04-02,10.4,15.8,6.5,,2.4,45,6.5,14.14,"19,480","16,380"
2005-04-03,8.6,14.5,5.6,3.5,2.8,62,4.5,17.08,"19,440","16,340"
2005-04-04,9.3,14.3,4.1,,3.7,44,2.6,21.5,"19,380","16,280"
2005-04-05,13.3,19,7.3,,3.1,41,1.1,20.43,"19,320","16,220"
2005-04-06,13.8,17.7,9.6,7,3.8,70,8.8,0.88,"19,280","16,180"
2005-04-07,12.9,16.1,10.5,,3.5,74,6.6,4.59,"19,260","16,160"
2005-04-08,14.9,22.5,7.5,,1.4,42,2.8,20.05,"19,260","16,160"
2005-04-09,13.4,15.8,11.3,41.5,3.1,72,9.1,1.66,"19,260","16,180"
2005-04-10,12.4,17.1,9.1,17,3,70,5.9,17.56,"19,280","16,220"
2005-04-11,13.5,18.2,10.1,,2.1,51,6.6,17.65,"19,280","16,240"
2005-04-12,11.2,14.6,7.8,,2.6,62,7.5,10.03,"19,300","16,340"
2005-04-13,10.5,15.8,6.4,,3.2,52,2.4,22.96,"19,520","16,520"
2005-04-14,9.9,14.3,6.3,,4.1,49,0.3,21.57,"19,740","16,700"
2005-04-15,9.6,15.3,4.6,,2.8,33,0,24.85,"19,980","16,900"
2005-04-16,10.8,15.8,5.5,,2.7,24,0,24.61,"20,160","17,060"
2005-04-17,14.3,19.2,7.5,,2.5,32,3.5,16.7,"20,280","17,180"
2005-04-18,15.2,18.8,10.3,4.5,1.7,61,8,5.22,"20,340","17,250"
2005-04-19,17.3,22,12.1,15,2.1,67,9,8.9,"20,340","17,270"
2005-04-20,10.3,13,7.9,6,5.2,58,4.6,18.56,"20,400","17,310"
2005-04-21,10.2,13.3,7.4,,4.7,57,0.8,23.86,"20,460","17,350"
2005-04-22,11.6,16.8,7.3,,3.9,52,0.8,24.82,"20,540","17,410"
2005-04-23,13.4,19.6,7.5,,2.4,43,0,25.82,"20,620","17,460"
2005-04-24,14,20.2,9.3,0,2.8,47,5.1,18.68,"20,720","17,520"
2005-04-25,13.7,19.3,9.6,,2.7,55,1.3,25.54,"20,780","17,580"
2005-04-26,14.9,20.3,9.1,,3,49,0,25.77,"20,900","17,700"
2005-04-27,16,20.6,13,0.2,3.7,50,8.8,15.28,"21,080","17,860"
2005-04-28,17.5,22.8,14.5,,4.8,72,8.1,14.17,"21,360","18,100"
2005-04-29,19.2,25.3,13.8,,1.8,62,3.9,21.64,"21,620","18,320"
2005-04-30,23.5,29.8,19.2,,1.9,65,6.3,18.74,"21,840","18,500"
2005-05-01,21,25.6,17.2,0.3,2.8,65,5.9,13.5,"22,000","18,620"
2005-05-02,19.5,24.7,15,,2.7,24,0,27.67,"22,020","18,620"
2005-05-03,19.2,26.5,11.8,,2.3,26,0,27.75,"21,960","18,560"
2005-05-04,20.1,27.7,12.6,,1.8,21,0,25.29,"21,960","18,600"
2005-05-05,19.8,26.7,13.1,16.5,2.4,48,7.1,15.51,"21,940","18,620"
2005-05-06,11.6,13.3,8.8,13.5,4,90,9.6,0.95,"21,920","18,640"
2005-05-07,13.5,19.7,6.3,,2.7,63,2.5,27.47,"21,940","18,700"
2005-05-08,13.4,15.6,11.1,,3.7,75,6.8,3.68,"21,920","18,720"
2005-05-09,13.3,17.6,9,,3.1,56,1,23.47,"21,870","18,670"
2005-05-10,14.2,19.3,9,,2.2,46,2.1,27.94,"21,830","18,630"
2005-05-11,13.7,16.1,12.1,1.5,1.7,59,10,3.84,"21,790","18,590"
2005-05-12,14.1,19.6,11.6,1,2.1,73,5.4,16.25,"21,810","18,610"
2005-05-13,16.6,23.3,10.1,,2.3,56,3.4,25.8,"21,990","18,790"
2005-05-14,16.7,20.7,13.3,,2.5,65,4.9,20.43,"22,260","19,040"
2005-05-15,18.6,25.7,12.5,,1.9,59,0,25.95,"22,520","19,280"
2005-05-16,19.6,25.3,14.3,,1.8,55,5.1,22.9,"22,850","19,580"
2005-05-17,19.4,23.6,16,26.5,2.1,66,10,5.59,"23,170","19,860"
2005-05-18,15.4,19.6,11.8,25,3.8,84,6.5,4.57,"23,410","20,060"
2005-05-19,17.2,23,11.8,,2.6,60,1.3,27.42,"23,550","20,180"
2005-05-20,18.5,24.5,12.8,,2.4,49,2,28.15,"23,710","20,320"
2005-05-21,17.7,22.8,13.6,,2.1,42,6.4,13.98,"23,840","20,440"
2005-05-22,15.9,18.5,14.6,1.5,1.4,59,9.8,4.57,"24,000","20,600"
2005-05-23,16.1,20.1,13.1,,3.1,65,4,21.89,"24,120","20,720"
2005-05-24,17.6,23.5,12.3,,2,59,2,23.52,"24,240","20,840"
2005-05-25,18.5,24,12.6,,2.6,59,4.5,22.07,"24,440","21,020"
2005-05-26,19.3,25,15.3,,3.4,60,2.4,21.61,"24,760","21,160"
2005-05-27,20.7,27.7,14.6,,2.1,52,2.1,26.8,"24,980","21,080"
2005-05-28,22,28.2,15.8,,1.7,46,5.8,21.11,"24,900","21,000"
2005-05-29,23.7,30.2,17.1,,1.7,45,0.8,24.71,"24,740","20,840"
2005-05-30,21.5,26.7,18,,2.6,44,2.9,24.86,"24,620","20,720"
2005-05-31,21,26.6,15.8,,2.1,35,2.1,24.67,"24,500","20,600"
2005-06-01,19.8,24.2,15.5,2.5,2.4,58,7.9,9.09,"24,380","20,480"
2005-06-02,19.1,22.2,17.6,0.5,2.4,78,8.8,5.74,"24,300","20,400"
2005-06-03,18,22.6,15.6,,2.8,75,6.1,15.28,"24,340","20,440"
2005-06-04,19.5,23.6,15.8,0,1.7,72,6.1,10.64,"24,380","20,480"
2005-06-05,22.8,29.1,16,,2.1,53,1.6,26.45,"24,520","20,620"
2005-06-06,22.2,27.1,18.2,,1.8,57,6.1,17.91,"24,660","20,720"
2005-06-07,21.7,25.1,18.3,,1.3,60,8.9,5.8,"24,800","20,820"
2005-06-08,23,27.7,18.3,,2,58,2.5,21.5,"24,900","20,880"
2005-06-09,23.6,28,18.6,,1.7,60,6.9,17.6,"24,980","20,920"
2005-06-10,19.1,23.1,18,13.5,2,86,7.6,1.74,"24,960","20,860"
2005-06-11,21,26.8,16.6,,2.4,69,0,27.88,"24,940","20,840"
2005-06-12,21.8,27.5,17.5,0,2.6,69,3.8,24.13,"24,880","20,780"
2005-06-13,24.8,31.3,18.7,,1.7,62,2.6,21.5,"24,800","20,700"
2005-06-14,24.1,31.8,20.3,3,2.5,61,6.6,18.6,"24,700","20,600"
2005-06-15,21.2,24.3,19,0.5,2.9,68,8.6,7.54,"24,600","20,500"
2005-06-16,21.2,25.2,17.8,0,2.4,69,7.9,14.66,"24,480","20,360"
2005-06-17,22.5,26.3,19.7,1.5,3.1,70,6.9,23.4,"24,510","20,260"
2005-06-18,23.1,27.2,20.6,,2.2,69,8,13.75,"24,650","20,190"
2005-06-19,23.6,29.3,19.7,0,1.9,66,4.9,20.93,"25,040","20,520"
2005-06-20,23.6,29.5,19,,2.5,68,4.8,22.35,"25,720","21,120"
2005-06-21,24.5,29.1,22,,2.8,67,7.1,19.05,"26,520","21,860"
2005-06-22,24.1,29.2,21,,2.9,69,4.5,19.05,"27,280","22,560"
2005-06-23,24.4,30.8,20.7,,2.6,67,2.9,24.53,"28,140","23,360"
2005-06-24,25.9,32,21.2,,2.2,64,2.4,23.47,"28,740","23,940"
2005-06-25,25.4,29.2,22.2,,1.9,66,7.8,15.62,"29,000","24,200"
2005-06-26,24.7,29.1,21.1,95.5,1.6,75,9.6,6.98,"29,160","24,380"
2005-06-27,22.7,24.2,20.7,37,4.6,89,10,0.7,"29,240","24,520"
2005-06-28,23.8,28,20.5,,2.5,72,8,18.59,"29,470","24,780"
2005-06-29,22.8,24.3,21.7,13.5,2.8,90,9.8,0.66,"29,725","25,150"
2005-06-30,25.7,31.1,22.3,1,2.8,80,8.9,9.97,"30,210","25,750"
2005-07-01,23.8,26.5,21.6,55,2.2,85,9.6,5.51,"30,850","26,350"
2005-07-02,23.9,26.1,22.8,1,2,88,9.8,2.23,"31,830","27,250"
2005-07-03,21.5,23.5,20.2,17.5,2.1,92,9,0.19,"32,490","27,930"
2005-07-04,24.2,28.8,20,,2.1,71,5,24.94,"33,100","28,560"
2005-07-05,23.1,26.3,21.6,0,3.2,81,9.5,6.05,"33,400","28,900"
2005-07-06,24.6,29,22.1,,2.5,74,7.6,12.86,"33,450","28,980"
2005-07-07,24.1,28.5,22.1,8.5,2.7,73,8.3,19.02,"33,070","28,620"
2005-07-08,25.1,29.1,22.1,11,2.2,73,8.9,17.09,"32,770","28,200"
2005-07-09,22.4,23.7,21.3,40,1.8,88,9,2.64,"32,410","27,740"
2005-07-10,23.7,26.2,20.6,,1.4,78,9.1,9.33,"32,110","27,380"
2005-07-11,20.7,23.3,19.5,15.5,2.9,87,9.4,2.08,"31,840","27,120"
2005-07-12,23.1,27,18.3,,1.7,70,5.9,15.42,"31,540","26,880"
2005-07-13,23.3,26.1,21.8,1.5,2.5,79,9.4,5.44,"31,140","26,640"
2005-07-14,25,29.6,22.1,0,2.3,71,7.4,15.74,"30,760","26,400"
2005-07-15,25.8,30.1,22,,1.5,72,5.8,13.25,"30,420","26,160"
2005-07-16,26,29.1,24.2,,2.3,75,8.1,9.92,"30,040","25,820"
2005-07-17,24.8,26.3,23.5,0.2,1.8,79,8.9,3.58,"29,560","25,360"
2005-07-18,26.4,31.2,23.5,,2.3,74,6.9,21.17,"29,000","24,760"
2005-07-19,26.5,30.7,23.3,,2,76,4.9,14.49,"28,420","24,080"
2005-07-20,27,31.7,23.8,,2.2,74,2.4,21.65,"27,740","23,350"
2005-07-21,27.1,32.5,23.7,,2.3,72,1.9,20.7,"27,100","22,650"
2005-07-22,29.1,34.2,24.3,,1.8,67,1.6,20.82,"26,660","22,190"
2005-07-23,30.2,33.9,26.2,,1.7,68,4.8,16.44,"26,180","21,790"
2005-07-24,29.2,33.5,27,3,1.6,71,7.3,10.48,"25,420","21,170"
2005-07-25,27.8,30.8,25.7,0,1.9,71,8.1,10.3,"24,560","20,420"
2005-07-26,27.6,32.2,24.1,,2.4,68,4.1,20.41,"23,740","19,720"
2005-07-27,27,29.6,24.7,0.2,3.2,73,9,10.11,"22,850","18,940"
2005-07-28,23.1,26,20.8,115,2.5,90,9.6,0.77,"22,110","18,240"
2005-07-29,25.4,28.5,22.2,,3,77,6.6,13.52,"21,590","17,780"
2005-07-30,26.1,29.5,24.3,,2.8,78,8.8,12.75,"21,230","17,460"
2005-07-31,26.9,30.2,23,1,1.4,72,7.6,12.31,"20,910","17,180"
2005-08-01,25.3,27,23.2,26.5,3.2,84,8.8,4.99,"20,660","16,940"
2005-08-02,26.3,29.1,24.1,0.5,2.5,80,8.6,6.84,"20,420","16,720"
2005-08-03,24.8,27.7,23.6,19,1.9,87,8.9,4.31,"20,280","16,580"
2005-08-04,28.5,32.5,24.3,,2.6,70,5.4,17.83,"20,180","16,480"
2005-08-05,29.3,34.2,25.5,,1.8,70,2.5,18.11,"20,040","16,320"
2005-08-06,29,35,25.8,0.5,1.9,69,3.9,18.74,"19,940","16,120"
2005-08-07,26.9,30.1,24.3,0,2.1,72,8.5,10.85,"19,780","15,940"
2005-08-08,26.2,30.2,23.7,16,2.8,80,8.6,10.48,"19,640","15,810"
2005-08-09,26.4,29.5,24.3,15,4.5,76,8.6,8.8,"19,440","15,630"
2005-08-10,25.1,28.2,23.5,57.5,2.2,86,9.5,3.96,"19,260","15,490"
2005-08-11,25.2,27.5,23.2,25,2.8,85,9.4,5.47,"19,100","15,340"
2005-08-12,26,26.8,24.6,1,3.2,85,10,0.54,"19,020","15,190"
2005-08-13,27.2,30.1,25.1,0.5,2.8,78,8.1,12.11,"18,940","15,020"
2005-08-14,27.3,31.1,25.2,,2.8,75,5.3,21.33,"18,840","14,920"
2005-08-15,27.2,31.3,25,0.5,2.3,79,7.1,15.63,"18,720","14,830"
2005-08-16,28.3,33,25.2,,2.1,74,4.3,19.97,"18,600","14,700"
2005-08-17,28.1,32.4,25.3,4.5,1.8,74,4.6,13.93,"18,640","14,740"
2005-08-18,25.5,30,22.7,8,2,81,8.9,9.44,"18,700","14,840"
2005-08-19,21.6,22.7,20,6.5,3,84,9.4,1.25,"18,540","14,960"
2005-08-20,23.2,28.2,19.3,0.5,3.4,65,7,11.86,"18,360","14,820"
2005-08-21,24.1,28.2,20.5,,3,61,7.8,16.93,"18,160","14,600"
2005-08-22,23.1,26,20.7,0,2.9,69,7.8,11.55,"17,980","14,400"
2005-08-23,24.1,29.2,19.1,,3.1,47,0.3,25.58,"17,800","14,200"
2005-08-24,20.6,23.6,16.5,39.5,4.5,62,8.8,5.2,"17,600","14,000"
2005-08-25,17.6,18.6,16.7,38.5,3.2,93,10,1.46,"17,420","13,820"
2005-08-26,21.2,25.3,16.7,,2.3,76,5.6,19.36,"17,280","13,680"
2005-08-27,23.6,27.8,21,,2.3,73,4.4,16.09,"17,220","13,600"
2005-08-28,22.9,27.3,20.2,25.5,1.9,82,5.9,12.24,"17,160","13,340"
2005-08-29,24.6,29,21.7,,1.8,74,6.3,17.65,"16,920","13,080"
2005-08-30,24.1,28,22,,1.7,77,8.3,8.53,"16,640","12,860"
2005-08-31,25.6,31.2,20,,1.3,70,2.4,17.81,"16,300","12,580"
2005-09-01,26.8,30.2,25.3,0.1,3.2,73,7.6,13.77,"15,960","12,300"
2005-09-02,25.2,27.7,23.2,0.5,2.7,78,9,6.58,"15,700","12,080"
2005-09-03,23.7,27.3,21.6,,1.7,69,9,9.84,"15,540","11,940"
2005-09-04,22.5,26,20.2,,3.9,63,5.6,15.6,"15,480","11,860"
2005-09-05,22.4,27.3,18.2,,4.4,48,1.3,23.69,"15,400","11,760"
2005-09-06,21.9,25.7,19.2,,4.9,53,6.1,15.47,"15,300","11,640"
2005-09-07,23.3,27.8,18.8,,2.1,60,2,15.94,"15,180","11,500"
2005-09-08,24.4,28.7,19.7,,1.8,66,4.5,13.45,"15,060","11,360"
2005-09-09,22.6,23.7,21.6,2.5,1.9,80,9,2.2,"14,900","11,200"
2005-09-10,24.1,28.2,20,,1.6,74,4.4,14.04,"14,820","11,120"
2005-09-11,26.3,30.8,21.6,,1.6,66,3,16.7,"14,800","11,100"
2005-09-12,25.8,29,22.7,0.1,1.3,68,7.5,13.05,"14,800","11,100"
2005-09-13,20.5,24.6,16.7,90.5,3.6,85,10,2.4,"14,840","11,120"
2005-09-14,20.2,25,16.2,,1.6,72,3,12.05,"14,890","11,170"
2005-09-15,21.4,26.7,16.5,,2.1,60,2.3,20.04,"14,930","11,210"
2005-09-16,22.8,26.6,18.7,0,2.1,63,6.8,14.4,"14,930","11,210"
2005-09-17,22.5,23.7,21.1,74,2.8,86,10,0.5,"14,930","11,210"
2005-09-18,22.8,27.2,20.2,0.5,1.7,80,6.9,14.35,"14,890","11,190"
2005-09-19,20.1,22.2,18.3,0,1.4,80,9.6,2.79,"14,880","11,180"
2005-09-20,20.1,23.5,16,0.1,1.4,72,8.1,7.11,"14,840","11,160"
2005-09-21,15.9,20.7,13.8,40,3.8,87,10,0.39,"14,780","11,120"
2005-09-22,17.1,19,14.8,0.5,1.7,87,9.1,3.15,"14,680","11,040"
2005-09-23,20.1,23.2,16.6,,1.8,72,6.6,9.32,"14,560","10,940"
2005-09-24,20.9,25.7,17.1,,2.4,66,6,15.36,"14,360","10,780"
2005-09-25,20.5,24.7,16.6,,2.1,66,5.5,14.52,"14,200","10,640"
2005-09-26,21,25.6,17.5,,1.4,66,4.6,13.6,"14,060","10,520"
2005-09-27,21,26.1,17.8,,1.5,67,5.1,13.42,"13,940","10,420"
2005-09-28,20.8,26.5,16.3,,1.4,64,2.1,16.92,"13,860","10,360"
2005-09-29,20.8,25.2,15.8,0,1.9,59,7,13.44,"13,840","10,340"
2005-09-30,17.7,21.2,16,104.5,2.3,91,10,0.01,"13,820","10,320"
2005-10-01,20.1,21.6,18.8,14.5,0.7,91,8.9,2.16,"13,800","10,300"
2005-10-02,19.2,24.2,15.6,0,2.3,62,7.3,13.73,"13,800","10,300"
2005-10-03,16.4,19.2,14.1,0.1,1.8,61,9.5,4.54,"13,860","10,360"
2005-10-04,16.6,21.7,13.6,,1.7,58,4.6,16.08,"13,900","10,400"
2005-10-05,16.5,22.3,11,,1.4,60,2.6,,"13,970","10,470"
2005-10-06,17.6,24.9,10.5,,1.3,56,3,17.35,"14,030","10,550"
2005-10-07,14.4,17.1,13.1,19.5,1.1,85,9.8,0.82,"14,090","10,630"
2005-10-08,16.1,20.6,13.8,,1.6,72,4.3,15.37,"14,130","10,690"
2005-10-09,16.2,21.8,11.8,,1.3,72,2.5,13.9,"14,190","10,770"
2005-10-10,17.4,23.1,12.6,,1.5,63,0.9,16.52,"14,200","10,800"
2005-10-11,17.4,23.2,12.5,,1.3,64,0.4,15.2,"14,200","10,800"
2005-10-12,17.5,23.2,12.6,,1.4,65,3.1,17.04,"14,150","10,770"
2005-10-13,17.4,21.7,14.6,,2.5,69,8.1,8.5,"14,050","10,690"
2005-10-14,15,17.8,12.3,2,2.7,49,4.9,16.48,"13,950","10,610"
2005-10-15,14.6,19,10.3,,2.3,54,4.1,13.66,"13,870","10,550"
2005-10-16,14.3,20.2,9.1,,1.6,56,1,16.44,"13,850","10,550"
2005-10-17,15.7,21.7,9.3,,1.8,68,0.1,13.84,"13,900","10,600"
2005-10-18,15.4,20,12.6,,1.6,70,1.4,9.8,"13,920","10,640"
2005-10-19,15.7,21.2,11.1,,1.2,66,1.5,12.77,"13,950","10,690"
2005-10-20,15.8,21.7,11.1,,1.6,60,4.3,13.99,"13,990","10,750"
2005-10-21,12.4,14.8,9.1,13.5,2.2,77,8.5,1.34,"13,990","10,770"
2005-10-22,8,12.3,5.1,,2.7,49,0.1,16.15,"13,970","10,770"
2005-10-23,9.5,15.5,3,,1.6,54,0,15.74,"13,950","10,750"
2005-10-24,12.6,18.5,7,,1.7,65,0.4,12.01,"13,900","10,700"
2005-10-25,14.1,19.5,10.1,,1.2,67,0.9,11.24,"13,860","10,660"
2005-10-26,14.9,19.8,11.6,,1.6,68,1.4,10.24,"13,820","10,620"
2005-10-27,14.6,20,10.1,,1.2,75,1.8,9.56,"13,780","10,580"
2005-10-28,12.4,16.2,8.5,3,2.8,68,4.9,9.51,"13,780","10,580"
2005-10-29,9.2,12.5,7.1,,2.5,57,1.9,11.89,"13,780","10,580"
2005-10-30,7.9,11.8,4.5,,1.5,64,1.9,6.72,"13,700","10,500"
2005-10-31,9.7,15.3,3.9,,1.6,59,0,13.53,"13,600","10,400"
2005-11-01,12.5,17.5,7.9,,2,67,4.1,9.7,"13,500","10,300"
2005-11-02,14.3,17.3,11.1,0,2.1,66,7.3,8.05,"13,440","10,240"
2005-11-03,15.8,20.7,12.1,0.5,1.3,70,5.3,8.03,"13,400","10,200"
2005-11-04,16.4,21.8,12.6,,1.2,73,3.8,8.12,"13,420","10,220"
2005-11-05,16.8,20.7,12.1,0.1,1.8,70,5,7.72,"13,460","10,260"
2005-11-06,14.1,18.1,8.5,30,2.7,78,6.3,4.23,"13,480","10,280"
2005-11-07,10.7,15.3,6,1,2.6,46,1.8,12.41,"13,440","10,240"
2005-11-08,8.8,12.1,4.8,,2.8,50,1.3,11.03,"13,420","10,220"
2005-11-09,10.6,15.3,5.4,,1.9,54,0.8,11.73,"13,430","10,230"
2005-11-10,13.9,17.7,9.8,0,3.1,74,6,5.66,"13,430","10,230"
2005-11-11,12.8,17.2,8.6,,2.1,40,5.1,6.2,"13,450","10,250"
2005-11-12,9.1,13.8,4.6,,1.8,35,2.1,11.28,"13,490","10,290"
